JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
CYPRESS::IRTP 19532-G1::[IRIS 313-15910]	IRIS 313-15910	IRGC 126956	trop
PANNITHI::IRGC 51049-1::[IRIS 313-9949]	IRIS 313-9949	IRGC 126078	trop
BOTOHAVANA MENA::IRGC 69349-1::[IRIS 313-10041]	IRIS 313-10041	IRGC 126049	trop
MAYBELLE::IRGC 78629-1::[IRIS 313-9363]	IRIS 313-9363	IRGC 125835	trop
DEO KITAN::IRGC 47197-1::[IRIS 313-9928]	IRIS 313-9928	IRGC 126057	trop
LIMBAYAN::IRGC 71556-1::[IRIS 313-9558]	IRIS 313-9558	IRGC 126302	trop
INITLOG DALAG::IRGC 67436-1::[IRIS 313-9616]	IRIS 313-9616	IRGC 127051	trop
BLICCA::IRGC 47151-1::[IRIS 313-8356]	IRIS 313-8356	IRGC 126188	trop
BULI INIA::IRGC 116961-1::[IRIS 313-10258]	IRIS 313-10258	IRGC 126050	temp
GUO DI HEI::IRGC 72697-1::[IRIS 313-10196]	IRIS 313-10196		trop
PDR 34-2-1-2::IRGC 117020-1::[IRIS 313-10295]	IRIS 313-10295	IRGC 127065	admix
CALIFORNIA BELLE::IRGC 66836-1::[IRIS 313-8923]	IRIS 313-8923	IRGC 125693	trop
CALROSE 76::IRGC 34275-1::[IRIS 313-8669]	IRIS 313-8669	IRGC 125604	japx
KATY::IRGC 77140-1::[IRIS 313-8285]	IRIS 313-8285	IRGC 125614	trop
TEBONNET::IRGC 66760-1::[IRIS 313-8434]	IRIS 313-8434	IRGC 125625	trop
MOROFIN::IRGC 56698-1::[IRIS 313-8768]	IRIS 313-8768	IRGC 127060	trop
BLUEBONNET::IRGC 1799-1::[IRIS 313-8960]	IRIS 313-8960	IRGC 125688	trop
LAYANDABU::IRGC 25214-1::[IRIS 313-9129]	IRIS 313-9129	IRGC 125820	trop
ARC 11359::IRGC 21348-1::[IRIS 313-9176]	IRIS 313-9176	IRGC 125639	japx
BLUE BELLE::IRGC 51125-1::[IRIS 313-9491]	IRIS 313-9491	IRGC 125685	trop
VEGOLD::IRGC 7756-1::[IRIS 313-9550]	IRIS 313-9550	IRGC 125932	trop
GOGOWIERIE::IRGC 14791-1::[IRIS 313-9851]	IRIS 313-9851	IRGC 126977	trop
KALAPATLE::IRGC 68500-1::[IRIS 313-10025]	IRIS 313-10025	IRGC 125790	admix
REA::IRGC 73031-1::[IRIS 313-10062]	IRIS 313-10062	IRGC 126141	trop
SAWAH::IRGC 71612-1::[IRIS 313-8279]	IRIS 313-8279	IRGC 126086	trop
KENDINGA 5 (H)::IRGC 60310-1::[IRIS 313-8439]	IRIS 313-8439	IRGC 126220	trop
CP 231::IRGC 34018-1::[IRIS 313-8658]	IRIS 313-8658	IRGC 126195	japx
TEXAS PATNA::IRGC 1797-1::[IRIS 313-8803]	IRIS 313-8803	IRGC 126283	trop
ANGKARONG::IRGC 71493-1::[IRIS 313-9050]	IRIS 313-9050	IRGC 127070	trop
GOBYERNO::IRGC 47216-1::[IRIS 313-9929]	IRIS 313-9929	IRGC 127048	trop
KEREN FENHO::IRGC 56735-1::[IRIS 313-8687]	IRIS 313-8687	IRGC 126329	trop
LOHAMBITRO::IRGC 69857-1::[IRIS 313-9742]	IRIS 313-9742	IRGC 127080	trop
CAROLINO BLANCO::IRGC 117249-1::[IRIS 313-10327]	IRIS 313-10327	IRGC 127042	trop
SALVO::GERVEX 1672-C1::[IRIS 313-8205]	IRIS 313-8205	IRGC 122237	japx
ALEXANDROS::GERVEX 1678-C1::[IRIS 313-8209]	IRIS 313-8209	IRGC 121962	trop
JACINTO::GERVEX 1653-C1::[IRIS 313-8186]	IRIS 313-8186	IRGC 122122	trop
GOOLARAH::GERVEX 500-C1::[IRIS 313-8074]	IRIS 313-8074	IRGC 122067	trop
SAMBA::GERVEX 186-C1::[IRIS 313-8065]	IRIS 313-8065	IRGC 122238	trop
GOLFO::GERVEX 118-C1::[IRIS 313-8044]	IRIS 313-8044	IRGC 122065	trop
DELLMONT::GERVEX 1647-C1::[IRIS 313-8180]	IRIS 313-8180	IRGC 122035	trop
